"Time (s)","Latitude (째)","Longitude (째)","Height (m)","Velocity (m/s)","Direction (째)","Horizontal Accuracy (m)","Vertical Accuracy (째)"
5.060659647E-1,6.504311238E1,2.550695278E1,1.364251614E1,NaN,NaN,3.569518831E1,2.429499054E1
2.283250928E0,6.504282671E1,2.550763871E1,1.401376057E1,NaN,NaN,1.592481239E1,1.987481308E1
2.624613643E0,6.504293173E1,2.550741902E1,1.629344749E1,1.727865100E0,NaN,2.549447359E1,2.431743521E1
3.624591827E0,6.504293043E1,2.550745531E1,1.562852204E1,1.074943542E0,5.656074116E1,1.483352178E1,2.233545859E1
4.624570847E0,6.504292053E1,2.550746353E1,1.266352793E1,8.906014562E-1,2.802900330E1,1.000766945E1,1.991266132E1
5.574550509E0,6.504292736E1,2.550750851E1,1.390292468E1,1.038877130E0,6.739824772E1,7.284813433E0,1.773776596E1
6.524530411E0,6.504293486E1,2.550752691E1,1.423798381E1,1.047307611E0,6.981180608E1,5.726114688E0,1.616972255E1
7.549605370E0,6.504294335E1,2.550755440E1,1.427812015E1,1.203733563E0,8.033965668E1,4.672028579E0,1.456172141E1
8.499315381E0,6.504294829E1,2.550757737E1,1.520726414E1,1.136451244E0,7.683470294E1,5.359538299E0,1.785976666E1
9.449322701E0,6.504294949E1,2.550761240E1,1.547822507E1,1.203733563E0,8.511032133E1,3.646184019E0,1.265210665E1
1.039938259E1,6.504295114E1,2.550764015E1,1.622559864E1,1.136451244E0,8.725962286E1,3.554629951E0,1.228478000E1
1.134944952E1,6.504295287E1,2.550766402E1,1.645001091E1,1.213864207E0,9.890671767E1,3.630710375E0,1.252152313E1
1.229948497E1,6.504295383E1,2.550768965E1,1.638336079E1,1.213864207E0,1.095223774E2,4.984971932E0,1.706808117E1
1.324954760E1,6.504294834E1,2.550771764E1,1.701186174E1,1.160814762E0,1.191407029E2,6.265622572E0,1.997122392E1
1.419961751E1,6.504294353E1,2.550773809E1,1.687024127E1,1.160814762E0,1.191407215E2,6.265622572E0,1.997122392E1
1.514965355E1,6.504293808E1,2.550775544E1,1.725364405E1,1.160814762E0,1.219368760E2,3.768166788E0,1.034097139E1
1.609971380E1,6.504293183E1,2.550777077E1,1.729923457E1,1.184847951E0,1.208804082E2,3.784912731E0,1.007544709E1
1.704974723E1,6.504292677E1,2.550779332E1,1.732703416E1,1.270807981E0,1.215981585E2,4.749134681E0,1.337589287E1
1.802382267E1,6.504291936E1,2.550781105E1,1.691573115E1,1.270807981E0,1.214168563E2,3.720023293E0,8.879582723E0
1.902388549E1,6.504291118E1,2.550783594E1,1.668604043E1,1.254565239E0,1.225728387E2,4.087319600E0,1.123829707E1
2.002391458E1,6.504290483E1,2.550784889E1,1.639316790E1,1.254565239E0,1.256818559E2,4.938247802E0,1.302189749E1
2.102397799E1,6.504289743E1,2.550786900E1,1.651065033E1,1.305103302E0,1.250143077E2,3.938134286E0,1.024234394E1
2.202399993E1,6.504288984E1,2.550788715E1,1.649117110E1,1.318741918E0,1.221660733E2,3.905879256E0,9.921988778E0
2.302401972E1,6.504288265E1,2.550791551E1,1.658632560E1,1.318741918E0,1.188163062E2,6.469968416E0,1.747906425E1
2.402403927E1,6.504287705E1,2.550794431E1,1.676837533E1,1.288535237E0,1.216537015E2,6.019469545E0,1.533723571E1
2.502405596E1,6.504287020E1,2.550797481E1,1.657275402E1,1.288535237E0,1.212517905E2,4.030974039E0,1.009674159E1
2.602407181E1,6.504286630E1,2.550800161E1,1.671545769E1,1.332008123E0,1.216827032E2,4.036390808E0,9.908409090E0
2.702408659E1,6.504286045E1,2.550803269E1,1.694496921E1,1.415784121E0,1.235228272E2,4.177239427E0,1.027800817E1
2.802409983E1,6.504285329E1,2.550805555E1,1.691111184E1,1.332008123E0,1.257490955E2,8.584235305E0,2.047845348E1
2.902411282E1,6.504285114E1,2.550808115E1,1.689683340E1,1.288360000E0,1.220683194E2,7.071933254E0,1.651018808E1
3.002412391E1,6.504284528E1,2.550810323E1,1.691170354E1,1.322112679E0,1.206554646E2,5.271608356E0,1.191900842E1
3.102413392E1,6.504284161E1,2.550812486E1,1.720931096E1,1.322112679E0,1.171436175E2,6.899380734E0,1.635258609E1
3.202414370E1,6.504283765E1,2.550814775E1,1.741083464E1,1.320781589E0,1.247276430E2,7.202419072E0,1.714201193E1
3.302415252E1,6.504283061E1,2.550817158E1,1.751549191E1,1.320781589E0,1.313714084E2,3.846988255E0,7.908658080E0
3.402416027E1,6.504282332E1,2.550819125E1,1.946163436E1,1.321139511E0,1.226784014E2,4.616546231E0,3.537235916E0
3.502416766E1,6.504281617E1,2.550821136E1,1.964907498E1,1.238824734E0,1.285121153E2,4.621130613E0,3.531244666E0
3.602417386E1,6.504280998E1,2.550823830E1,1.979049656E1,1.251731297E0,1.183410274E2,4.622824688E0,3.529026627E0
3.702417862E1,6.504280040E1,2.550826298E1,1.984752847E1,1.476400965E0,1.234548605E2,4.622480189E0,3.529477856E0
3.802418375E1,6.504279093E1,2.550829154E1,1.983074983E1,1.573433029E0,1.242567596E2,4.623673321E0,3.527914689E0
3.902418888E1,6.504278436E1,2.550830801E1,1.970631979E1,1.123231810E0,1.249705350E2,4.625114667E0,3.526024866E0
4.002419209E1,6.504277951E1,2.550832920E1,1.973019991E1,9.277040462E-1,1.238338065E2,4.628918073E0,3.521030319E0
4.102419591E1,6.504276948E1,2.550836881E1,2.001204790E1,1.549321770E0,1.231094690E2,4.632877142E0,3.515819452E0
4.202419937E1,6.504276284E1,2.550839043E1,2.003246608E1,1.232772245E0,1.204957169E2,4.636457197E0,3.511096936E0
4.302420163E1,6.504275730E1,2.550841696E1,2.022741228E1,1.359118819E0,1.174321935E2,4.640629385E0,3.505580686E0
4.402420378E1,6.504275030E1,2.550844787E1,2.030954134E1,1.395315947E0,1.187565053E2,4.644009870E0,3.501101164E0
4.502420533E1,6.504274214E1,2.550847391E1,2.015280967E1,1.503813746E0,1.230299878E2,4.647262973E0,3.496781933E0
4.602420616E1,6.504273653E1,2.550849887E1,2.044701632E1,1.295575679E0,1.250979999E2,4.651591529E0,3.491021810E0
4.702420783E1,6.504273083E1,2.550852826E1,2.103849294E1,1.307182137E0,1.255946782E2,4.654847889E0,3.486678673E0
4.802420771E1,6.504272777E1,2.550855088E1,2.108352822E1,1.101512698E0,1.221038873E2,4.658226087E0,3.482164090E0
4.902420866E1,6.504272270E1,2.550857054E1,2.122073967E1,1.128124479E0,1.208049282E2,4.662488866E0,3.476454315E0
5.002420819E1,6.504271254E1,2.550859760E1,2.128510629E1,1.495554454E0,1.261815975E2,4.663956503E0,3.474485109E0
5.102420831E1,6.504270461E1,2.550862370E1,2.112371369E1,1.522119488E0,1.235414040E2,4.664109439E0,3.474279807E0
5.202420819E1,6.504269788E1,2.550864497E1,2.113678137E1,1.294049551E0,1.227686060E2,4.668074580E0,3.468950381E0
5.302420688E1,6.504268790E1,2.550866592E1,2.125343926E1,1.335038711E0,1.282258794E2,4.667437207E0,3.469807913E0
5.402420616E1,6.504268123E1,2.550868693E1,2.130276351E1,1.233687738E0,1.248514464E2,4.667893817E0,3.469193616E0
5.502420473E1,6.504267438E1,2.550871184E1,2.164079081E1,1.300627106E0,1.264135038E2,4.663892875E0,3.474570517E0
5.602420342E1,6.504266741E1,2.550873438E1,2.162481744E1,1.254347255E0,1.249743048E2,4.661619683E0,3.477619727E0
5.702420199E1,6.504265712E1,2.550875926E1,2.186132080E1,1.378060246E0,1.319031064E2,4.658490788E0,3.481809962E0
5.802420104E1,6.504264857E1,2.550877166E1,2.210510148E1,1.283031435E0,1.325218642E2,4.658108512E0,3.482321370E0
5.902419841E1,6.504263894E1,2.550878938E1,2.219643479E1,1.196560203E0,1.365772938E2,4.660391693E0,3.479265195E0
6.002419662E1,6.504263383E1,2.550881281E1,2.151685366E1,1.401320032E0,1.290724416E2,4.652478050E0,3.489840258E0
6.102419424E1,6.504263113E1,2.550883600E1,2.119721724E1,1.164402721E0,1.183365425E2,4.654211078E0,3.487528678E0
6.202419150E1,6.504262951E1,2.550885698E1,2.120593063E1,1.149409626E0,1.103798245E2,4.653634231E0,3.488298364E0
6.302418995E1,6.504262639E1,2.550888217E1,2.109937755E1,1.266341433E0,1.070078417E2,4.650846759E0,3.492013954E0
6.402418804E1,6.504262370E1,2.550890441E1,2.106637353E1,1.195474187E0,1.047358727E2,4.642573705E0,3.503005342E0
6.502418351E1,6.504262189E1,2.550892189E1,2.132604147E1,1.015285234E0,1.045905418E2,4.641267653E0,3.504735597E0
6.602418137E1,6.504261975E1,2.550894815E1,2.144588745E1,1.087754049E0,1.027893858E2,4.641004776E0,3.505083695E0
6.702417934E1,6.504261846E1,2.550896754E1,2.148416644E1,9.962051236E-1,9.971935814E1,4.640179015E0,3.506176798E0
6.802417600E1,6.504261629E1,2.550899491E1,2.125779300E1,1.044783062E0,9.921075711E1,4.640850498E0,3.505287961E0
6.902417409E1,6.504261430E1,2.550901713E1,2.127738156E1,9.136332762E-1,9.632012652E1,4.641737942E0,3.504112714E0
7.002417052E1,6.504261197E1,2.550904585E1,2.127950721E1,1.026139465E0,9.696772431E1,4.642684389E0,3.502858646E0
7.102416658E1,6.504261065E1,2.550907108E1,2.095016724E1,1.078750044E0,9.493990752E1,4.644356287E0,3.500641614E0
7.202416539E1,6.504260980E1,2.550909630E1,2.063240425E1,1.122234154E0,9.412136613E1,4.644136920E0,3.500932633E0
7.302416062E1,6.504260703E1,2.550912407E1,2.046938600E1,1.195082769E0,9.674642030E1,4.642396915E0,3.503239632E0
7.402415717E1,6.504260887E1,2.550914350E1,2.077961656E1,1.001233931E0,9.019630803E1,4.643750188E0,3.501445591E0
7.502415395E1,6.504260986E1,2.550915055E1,2.110236525E1,6.339228373E-1,8.735211479E1,4.643579031E0,3.501672574E0
7.602415085E1,6.504260788E1,2.550918573E1,2.110308564E1,9.603760183E-1,9.285272949E1,4.643803438E0,3.501374967E0
7.702414656E1,6.504260918E1,2.550921047E1,2.097696663E1,9.424192042E-1,8.991892731E1,4.643058059E0,3.502363330E0
7.802414703E1,6.504260765E1,2.550924129E1,2.074772575E1,1.039486874E0,9.353543452E1,4.643076413E0,3.502338998E0
7.902413952E1,6.504260860E1,2.550927534E1,2.078457780E1,1.180756810E0,9.021434038E1,4.644130282E0,3.500941438E0
8.002413583E1,6.504260891E1,2.550929808E1,2.106388327E1,1.071841093E0,9.038083927E1,4.645680877E0,3.498883568E0
8.102413261E1,6.504261019E1,2.550933003E1,2.096000657E1,1.145884514E0,8.690374607E1,4.646356755E0,3.497985983E0
8.202412868E1,6.504261218E1,2.550935281E1,2.067406995E1,9.887854414E-1,8.053825537E1,4.646287823E0,3.498077543E0
8.302412546E1,6.504261571E1,2.550938015E1,2.015556405E1,1.054403489E0,7.691347133E1,4.649466977E0,3.493850865E0
8.402412152E1,6.504261767E1,2.550940280E1,2.029204067E1,9.658953693E-1,7.634258783E1,4.652576879E0,3.489708501E0
8.502411747E1,6.504261838E1,2.550942560E1,2.011684052E1,9.443105844E-1,7.789858639E1,4.656354498E0,3.484666385E0
8.602411342E1,6.504262039E1,2.550944775E1,2.012633652E1,9.515834835E-1,7.457775788E1,4.653132234E0,3.488967963E0
8.702410960E1,6.504262389E1,2.550947661E1,1.999840247E1,1.064548087E0,7.249563561E1,4.650828328E0,3.492038502E0
8.802410662E1,6.504262921E1,2.550950401E1,2.021005176E1,1.169797423E0,6.896551138E1,4.651943065E0,3.490553359E0
8.902410173E1,6.504263119E1,2.550953171E1,2.022269456E1,1.053885177E0,7.158700492E1,4.644869625E0,3.499960456E0
9.002409816E1,6.504262918E1,2.550956292E1,2.024553944E1,1.054234159E0,7.994905182E1,4.650699611E0,3.492209925E0
9.102409530E1,6.504262984E1,2.550959014E1,2.012794845E1,1.018799912E0,7.878009761E1,4.651781048E0,3.490769273E0
9.202409053E1,6.504262886E1,2.550961200E1,2.029525283E1,7.812254952E-1,8.158020617E1,4.657516795E0,3.483112736E0
9.302408600E1,6.504263200E1,2.550963313E1,2.016201727E1,7.025212995E-1,7.634337716E1,4.662061297E0,3.477027681E0
9.402408218E1,6.504263282E1,2.550966590E1,1.974353501E1,8.593183070E-1,8.008710921E1,4.664499158E0,3.473756560E0
9.502408075E1,6.504263514E1,2.550970167E1,2.009311454E1,1.041948118E0,8.018518635E1,4.665624089E0,3.472245512E0
9.602407455E1,6.504263835E1,2.550973722E1,2.026673885E1,1.118696365E0,7.680829415E1,4.664840981E0,3.473297518E0
9.702407026E1,6.504264058E1,2.550977290E1,2.019104792E1,1.140810930E0,7.869674399E1,4.662450764E0,3.476505416E0
9.802406657E1,6.504264689E1,2.550980067E1,2.029031381E1,9.544663512E-1,7.450581320E1,4.653701997E0,3.488207957E0
9.902406240E1,6.504265034E1,2.550982687E1,2.042828013E1,7.813211570E-1,7.309482448E1,4.656816230E0,3.484049316E0
1.000240576E2,6.504265023E1,2.550986471E1,2.010096255E1,9.498985219E-1,8.084853202E1,4.659198497E0,3.480862881E0
1.010240541E2,6.504265398E1,2.550988981E1,2.035190272E1,9.474782355E-1,7.823732232E1,4.657854570E0,3.482661029E0
1.020240495E2,6.504265847E1,2.550991131E1,2.041337799E1,8.076082958E-1,7.839811464E1,4.651958284E0,3.490533077E0
1.030240462E2,6.504266363E1,2.550994082E1,2.026828162E1,8.344590610E-1,7.471088811E1,4.647587432E0,3.496350683E0
1.040240420E2,6.504266687E1,2.550996655E1,1.990413897E1,8.886286341E-1,7.613067854E1,4.645108834E0,3.499642976E0
1.050240378E2,6.504267155E1,2.550999388E1,2.044570131E1,8.907534921E-1,7.729883729E1,4.645211684E0,3.499506457E0
1.060240332E2,6.504267438E1,2.551002748E1,2.030195973E1,1.011636324E0,8.294830701E1,4.642730614E0,3.502797380E0
1.070240284E2,6.504267883E1,2.551006139E1,2.057860465E1,1.151197560E0,8.047206661E1,4.639482674E0,3.507098167E0
1.080240240E2,6.504268083E1,2.551009430E1,2.064713012E1,1.256862823E0,8.425392994E1,4.638525115E0,3.508364547E0
1.090240208E2,6.504268094E1,2.551011587E1,2.028610043E1,9.967958378E-1,8.830321899E1,4.635741181E0,3.512042245E0
1.100240166E2,6.504268895E1,2.551014132E1,2.040974778E1,9.774038992E-1,7.612936315E1,4.637685589E0,3.509474235E0
1.110240120E2,6.504269298E1,2.551017447E1,2.044077827E1,1.084688995E0,7.771770088E1,4.640360752E0,3.505936269E0
1.120240079E2,6.504269536E1,2.551020961E1,2.087550887E1,1.232179423E0,8.156055669E1,4.640492708E0,3.505761610E0
1.130240047E2,6.504269744E1,2.551024654E1,2.061596751E1,1.293208668E0,8.533571556E1,4.640923829E0,3.505190871E0
1.140240005E2,6.504270155E1,2.551027151E1,2.056903482E1,1.052303491E0,8.281031996E1,4.641341313E0,3.504638048E0
1.150239962E2,6.504270641E1,2.551031277E1,2.040475048E1,1.273792920E0,8.100391589E1,4.633246048E0,3.515333284E0
1.160239913E2,6.504271066E1,2.551033489E1,2.007286926E1,1.018498255E0,7.677279631E1,4.633234336E0,3.515348720E0
1.170239878E2,6.504271619E1,2.551035768E1,2.044065248E1,8.754512024E-1,7.292405211E1,4.633640883E0,3.514812825E0
1.180239828E2,6.504271784E1,2.551039442E1,2.028866947E1,1.006280996E0,7.960033132E1,4.634402704E0,3.513808277E0
1.190239788E2,6.504272166E1,2.551042810E1,2.031452283E1,1.169016746E0,7.857409910E1,4.634156557E0,3.514132900E0
1.200239751E2,6.504272475E1,2.551045786E1,2.005611414E1,1.145673639E0,7.852571471E1,4.636667377E0,3.510819372E0
1.210239716E2,6.504272810E1,2.551048715E1,2.010370759E1,1.159473679E0,7.696021092E1,4.633028796E0,3.515619605E0
1.220239663E2,6.504273037E1,2.551051673E1,2.047021406E1,1.140387239E0,7.910682373E1,4.629388290E0,3.520412063E0
1.230239630E2,6.504273531E1,2.551054652E1,2.068828623E1,1.154404603E0,7.558848039E1,4.628367182E0,3.521754430E0
1.240239582E2,6.504274116E1,2.551056391E1,2.083330855E1,9.438064012E-1,6.747926715E1,4.631375667E0,3.517797104E0
1.250239539E2,6.504274449E1,2.551060001E1,2.100413552E1,1.117955697E0,7.268296439E1,4.629588235E0,3.520149117E0
1.260239491E2,6.504274894E1,2.551063614E1,2.104392143E1,1.172453985E0,7.377015127E1,4.626052721E0,3.524794073E0
1.270239451E2,6.504275477E1,2.551066583E1,2.090318630E1,1.177516381E0,6.866954607E1,4.623683895E0,3.527900830E0
1.280239414E2,6.504275921E1,2.551069379E1,2.123304750E1,1.090259839E0,6.868365667E1,4.623536307E0,3.528094252E0
1.290239371E2,6.504276256E1,2.551072223E1,2.129826994E1,1.015385577E0,7.299311999E1,4.619767025E0,3.533028399E0